
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B0:EA:BC:03:34:CC, 2024-06-13 18:50:12, 2024-06-13 18:58:34,  1, 130, WPA2, CCMP, PSK, -84,        6,        0,   0.  0.  0.  0,  13, MOVISTAR_34CB, 
48:29:52:47:B7:86, 2024-06-13 18:50:22, 2024-06-13 18:58:34,  6, 195, WPA2 WPA, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,  12, vodafoneB780, 
CC:29:BD:24:9C:83, 2024-06-13 18:55:58, 2024-06-13 18:58:25,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:D4:A1:FA:1E:7F, 2024-06-13 18:53:32, 2024-06-13 19:00:22,  6, 130, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_1E7D, 
BA:42:A1:54:5A:68, 2024-06-13 18:50:09, 2024-06-13 18:58:21,  8, 270, WPA2, CCMP, PSK, -82,        0,        6,   0.  0.  0.  0,   9, atorrere , 
A4:39:B3:17:E3:CD, 2024-06-13 18:50:53, 2024-06-13 18:57:57,  4, 130, WPA2, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,  19, DIGIFIBRA-Juan_Plus, 
FC:22:F4:59:25:31, 2024-06-13 18:56:57, 2024-06-13 18:56:57,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:32:E5:C2:FF:D1, 2024-06-13 18:55:34, 2024-06-13 18:55:49, 11,  -1, WPA, ,   ,  -1,        0,       13,   0.  0.  0.  0,   0, , 
CC:ED:DC:4A:26:B2, 2024-06-13 18:50:55, 2024-06-13 18:55:10,  1, 130, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_26B0, 
CC:ED:DC:74:E8:20, 2024-06-13 18:51:34, 2024-06-13 18:54:13,  1, 130, WPA2, CCMP, PSK, -85,        7,        0,   0.  0.  0.  0,  13, MOVISTAR_E820, 
C4:04:15:41:B6:DE, 2024-06-13 18:52:13, 2024-06-13 18:52:13, 11, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  17, MOVISTAR_34E3_EXT, 
E4:AB:89:8D:56:08, 2024-06-13 18:51:34, 2024-06-13 18:51:34,  1,  -1, WPA, ,   , -86,        0,        1,   0.  0.  0.  0,   0, , 
6C:99:61:FC:92:26, 2024-06-13 18:51:24, 2024-06-13 18:51:24,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,  11, vodafone2.4, 
38:CA:84:18:29:33, 2024-06-13 18:50:36, 2024-06-13 18:50:36, 11,  65, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  32, DIRECT-32-HP DeskJet 2700 series, 
94:28:6F:15:17:10, 2024-06-13 18:50:06, 2024-06-13 18:50:07,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:3F:BC:DE:7C:0A, 2024-06-13 18:50:22, 2024-06-13 18:50:29, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:C2:5A:7E:07:BC, 2024-06-13 18:51:30, 2024-06-13 18:51:30, 11,  -1, WPA, ,   , -85,        0,        1,   0.  0.  0.  0,   0, , 
62:82:8C:B3:67:D1, 2024-06-13 18:54:51, 2024-06-13 18:54:51, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
60:8D:26:30:3E:50, 2024-06-13 18:51:20, 2024-06-13 18:55:03,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:CE:62:68:E9:0A, 2024-06-13 18:50:37, 2024-06-13 18:55:42,  1,  65, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,  27, DIRECT-09-HP OfficeJet 3830, 
CC:ED:DC:1D:34:E4, 2024-06-13 18:52:35, 2024-06-13 18:56:14, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C6:ED:DC:4A:26:B2, 2024-06-13 18:55:03, 2024-06-13 18:56:54,  1, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_42CB, 
94:91:7F:9C:9A:2F, 2024-06-13 18:56:53, 2024-06-13 18:56:53,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
EC:F4:51:D6:8A:2D, 2024-06-13 18:52:46, 2024-06-13 18:57:05,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:D4:A1:EA:3A:D3, 2024-06-13 18:57:15, 2024-06-13 18:57:15, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
4C:AB:F8:74:28:7F, 2024-06-13 18:53:50, 2024-06-13 18:57:40, 11, 130, WPA2, CCMP, PSK, -85,        5,        0,   0.  0.  0.  0,  13, MOVISTAR_2870, 
44:48:B9:E8:AB:1F, 2024-06-13 18:52:10, 2024-06-13 18:57:40,  6, 130, WPA2, CCMP, PSK, -81,        3,        0,   0.  0.  0.  0,  13, MOVISTAR_AB1E, 
CC:D4:A1:E2:42:42, 2024-06-13 18:54:59, 2024-06-13 18:58:02,  6,  -1, WPA, ,   , -86,        0,        7,   0.  0.  0.  0,   0, , 
0C:73:29:1D:71:C5, 2024-06-13 18:55:31, 2024-06-13 18:58:27, 11, 130, WPA2, CCMP, PSK, -86,        1,        4,   0.  0.  0.  0,  12, MiFibra-67CF, 
E0:51:63:92:C8:9C, 2024-06-13 18:50:40, 2024-06-13 18:58:27,  1, 130, WPA2, CCMP, PSK, -85,       13,        0,   0.  0.  0.  0,  12, MiFibra-C89A, 
C6:D4:A1:FA:1E:7F, 2024-06-13 18:50:11, 2024-06-13 18:58:31,  6, 130, WPA2, CCMP, PSK, -78,       19,        0,   0.  0.  0.  0,  13, MOVISTAR_8B9A, 
30:CC:21:2C:84:B3, 2024-06-13 18:52:08, 2024-06-13 18:58:29,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
46:AD:B1:D4:C7:41, 2024-06-13 18:55:02, 2024-06-13 19:00:22,  6, 195, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  10, GUEST_G6AP, 
B0:0A:D5:D8:B5:1F, 2024-06-13 18:58:02, 2024-06-13 18:59:06, 11, 270, WPA2, CCMP, PSK, -85,        4,        0,   0.  0.  0.  0,  15, Vodafone-D8B51F, 
44:05:3F:C5:88:94, 2024-06-13 18:50:43, 2024-06-13 19:00:23,  1, 195, WPA2, CCMP, PSK, -76,       54,       13,   0.  0.  0.  0,  13, Livebox6-8890, 
E4:AB:89:B9:06:EE, 2024-06-13 18:50:11, 2024-06-13 18:59:03,  6, 720, WPA2, CCMP, PSK, -82,        1,       16,   0.  0.  0.  0,  19, MOVISTAR-WIFI6-06E8, 
9C:A5:70:32:77:C5, 2024-06-13 18:59:03, 2024-06-13 18:59:03,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:33:ED:34:50:2F, 2024-06-13 18:57:04, 2024-06-13 18:59:17,  6,  -1, WPA, ,   , -80,        0,        2,   0.  0.  0.  0,   0, , 
D4:5D:64:85:DA:30, 2024-06-13 18:50:10, 2024-06-13 18:59:31, 10, 720, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,  11, thecastanos, 
00:31:92:27:1E:E2, 2024-06-13 18:54:32, 2024-06-13 18:59:41,  3, 270, WPA2, CCMP, PSK, -85,       24,        0,   0.  0.  0.  0,  13, MIWIFI_2G_uu4, 
AC:1D:DF:64:2E:CC, 2024-06-13 18:55:07, 2024-06-13 18:59:54,  7,  65, OPN, ,   , -86,       11,        0,   0.  0.  0.  0,  19, Robot-2ECC-9197e2f9, 
44:FB:5A:B3:47:94, 2024-06-13 18:56:26, 2024-06-13 18:59:54,  7, 130, WPA2, CCMP TKIP, PSK, -86,        5,        0,   0.  0.  0.  0,  14, DIGIFIBRA-HCyt, 
98:97:D1:33:6A:1C, 2024-06-13 18:59:10, 2024-06-13 18:59:53,  6, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_6A1B, 
60:8D:26:F7:C6:EC, 2024-06-13 18:50:04, 2024-06-13 18:59:50,  1, 195, WPA2 OPN, CCMP, PSK, -84,        7,        7,   0.  0.  0.  0,  13, Livebox6-C6ED, 
98:97:D1:A0:60:32, 2024-06-13 18:50:04, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -84,       49,        7,   0.  0.  0.  0,  13, MOVISTAR_6031, 
AC:4C:A5:C5:CC:80, 2024-06-13 18:50:54, 2024-06-13 18:59:53, 11, 195, WPA2, CCMP, PSK, -82,       17,        4,   0.  0.  0.  0,  19, vodafoneAAMNHQ-2.4G, 
8C:19:B5:FF:BA:31, 2024-06-13 18:50:12, 2024-06-13 19:00:23,  1, 195, WPA2, CCMP, PSK, -83,       41,       15,   0.  0.  0.  0,  13, Livebox6-BA32, 
FA:8F:CA:35:FF:85, 2024-06-13 18:50:21, 2024-06-13 19:00:25, 10,  65, OPN, ,   , -86,       15,        0,   0.  0.  0.  0,   0, , 
FA:8F:CA:89:05:17, 2024-06-13 18:52:45, 2024-06-13 19:00:25, 11,  65, OPN, ,   , -86,       48,        0,   0.  0.  0.  0,   9, Cocina.b,, 
E0:41:36:B3:F3:60, 2024-06-13 18:52:03, 2024-06-13 19:00:15,  1, 130, WPA2, CCMP, PSK, -85,        2,        5,   0.  0.  0.  0,  13, MOVISTAR_F35F, 
44:48:B9:D3:AE:2E, 2024-06-13 18:51:48, 2024-06-13 19:00:08,  6,  -1, , ,   , -85,        0,        0,   0.  0.  0.  0,   0, , 
50:D4:F7:85:43:9F, 2024-06-13 18:50:18, 2024-06-13 19:00:11,  6, 130, WPA2, CCMP TKIP, PSK, -85,       24,        0,   0.  0.  0.  0,  16, MiFibra-9DD0_EXT, 
06:31:92:27:1E:E2, 2024-06-13 18:54:43, 2024-06-13 19:00:03,  3, 270, WPA2, CCMP, PSK, -85,       23,        0,   0.  0.  0.  0,   0, , 
34:57:60:90:4A:AC, 2024-06-13 18:51:34, 2024-06-13 19:00:22, 11, 130, WPA2, CCMP, PSK, -87,       40,       10,   0.  0.  0.  0,  13, MOVISTAR_4AAB, 
6A:86:20:9B:D9:68, 2024-06-13 19:00:01, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,  16, MiFibra-D968-24G, 
44:AD:B1:D4:C6:40, 2024-06-13 18:52:42, 2024-06-13 19:00:11,  6, 195, WPA2, CCMP, PSK, -84,       30,        0,   0.  0.  0.  0,  11, MIWIFI_G6AP, 
E0:51:63:1B:1E:F1, 2024-06-13 18:50:19, 2024-06-13 19:00:12,  1, 130, WPA2, CCMP, PSK, -84,       35,        5,   0.  0.  0.  0,  12, MiFibra-1EEF, 
80:20:DA:56:C1:76, 2024-06-13 18:50:04, 2024-06-13 19:00:05,  1, 195, WPA2, CCMP, PSK, -84,       49,        4,   0.  0.  0.  0,  12, vodafoneC170, 
C8:B4:22:76:F1:5F, 2024-06-13 18:51:42, 2024-06-13 19:00:02,  2, 130, WPA2, CCMP, PSK, -84,        1,        4,   0.  0.  0.  0,  13, MOVISTAR_F15E, 
70:5A:9E:28:E4:3D, 2024-06-13 18:50:32, 2024-06-13 19:00:04, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -84,       10,        0,   0.  0.  0.  0,  12, vodafoneE438, 
9A:43:22:B7:C0:D0, 2024-06-13 18:50:05, 2024-06-13 19:00:20,  8,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
F4:69:42:E7:E7:FF, 2024-06-13 18:50:10, 2024-06-13 19:00:22, 11, 130, WPA2, CCMP, PSK, -82,      133,       70,   0.  0.  0.  0,  13, MOVISTAR_E7F0, 
84:AA:9C:26:69:13, 2024-06-13 18:51:01, 2024-06-13 19:00:22,  6, 130, WPA2, CCMP, PSK, -82,       49,        8,   0.  0.  0.  0,  13, MOVISTAR_6912, 
FA:8F:CA:9C:B6:3F, 2024-06-13 18:50:54, 2024-06-13 19:00:25, 11,  65, OPN, ,   , -76,      105,        0,   0.  0.  0.  0,   0, , 
4C:AB:F8:E6:F1:9F, 2024-06-13 18:51:45, 2024-06-13 19:00:15,  6, 130, WPA2, CCMP, PSK, -83,       16,        0,   0.  0.  0.  0,   6, manial, 
58:B5:68:24:C5:BE, 2024-06-13 18:50:05, 2024-06-13 19:00:23, 13,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
84:AA:9C:33:7A:72, 2024-06-13 18:50:29, 2024-06-13 19:00:22, 11, 130, WPA2, CCMP, PSK, -83,       60,        4,   0.  0.  0.  0,  13, MOVISTAR_7A71, 
08:33:ED:8A:70:FF, 2024-06-13 18:54:34, 2024-06-13 19:00:15,  6, 648, WPA2, CCMP, PSK, -83,       48,        0,   0.  0.  0.  0,  19, MOVISTAR-WIFI6-70F0, 
D8:E8:44:B4:20:08, 2024-06-13 18:50:28, 2024-06-13 19:00:25, 10, 324, WPA2, CCMP, PSK, -80,       61,        1,   0.  0.  0.  0,  14, DIGIFIBRA-KxHT, 
04:D9:F5:90:4C:F4, 2024-06-13 18:50:29, 2024-06-13 19:00:22, 11, 260, WPA2, CCMP, PSK, -83,       65,        1,   0.  0.  0.  0,   4, SETI, 
7C:8F:DE:27:A9:45, 2024-06-13 18:50:40, 2024-06-13 19:00:12,  1, 130, WPA2, CCMP, PSK, -82,       21,       13,   0.  0.  0.  0,  13, Livebox6-CA55, 
80:78:71:B8:39:9F, 2024-06-13 18:50:22, 2024-06-13 19:00:22,  6, 130, WPA2, CCMP, PSK, -82,      102,        0,   0.  0.  0.  0,  13, MOVISTAR_3990, 
A8:42:A1:54:5A:6E, 2024-06-13 18:50:31, 2024-06-13 19:00:24,  8, 270, WPA2, CCMP, PSK, -82,       72,       15,   0.  0.  0.  0,   5, ....., 
9C:53:22:B7:C0:D0, 2024-06-13 18:50:05, 2024-06-13 19:00:16,  8, 540, WPA2, CCMP, PSK, -81,       52,       32,   0.  0.  0.  0,  18, DIGIFIBRA-47hU_EXT, 
98:DA:C4:78:6B:AF, 2024-06-13 18:54:35, 2024-06-13 19:00:02,  2, 270, WPA2, CCMP TKIP, PSK, -81,       41,        0,   0.  0.  0.  0,  21, MOVISTAR_B10A_2.4GEXT, 
CC:D4:A1:8E:39:36, 2024-06-13 18:50:04, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -81,       85,       14,   0.  0.  0.  0,  13, MOVISTAR_3935, 
C8:B4:22:C4:0D:4F, 2024-06-13 18:50:11, 2024-06-13 19:00:22, 11, 130, WPA2, CCMP, PSK, -81,      117,      136,   0.  0.  0.  0,  13, MOVISTAR_0D40, 
50:D4:F7:08:63:A6, 2024-06-13 18:50:29, 2024-06-13 19:00:25, 11, 130, WPA2, CCMP, PSK, -85,      106,        2,   0.  0.  0.  0,  12, MiFibra-3AE6, 
94:28:6F:15:17:0F, 2024-06-13 18:50:05, 2024-06-13 19:00:12,  7, 324, WPA2, CCMP, PSK, -80,       47,       18,   0.  0.  0.  0,  14, DIGIFIBRA-QQ7u, 
08:7E:64:F3:01:00, 2024-06-13 18:50:51, 2024-06-13 19:00:23,  1, 195, WPA2, CCMP, PSK, -80,       40,        0,   0.  0.  0.  0,  14, vodafoneAAWN6Z, 
E8:6E:44:06:79:EC, 2024-06-13 18:50:31, 2024-06-13 19:00:06,  8, 360, WPA2, CCMP, PSK, -80,       58,        0,   0.  0.  0.  0,  14, DIGIFIBRA-CtNu, 
BA:42:A1:54:5A:B0, 2024-06-13 18:50:19, 2024-06-13 19:00:17,  8, 270, WPA2, CCMP, PSK, -80,       78,       13,   0.  0.  0.  0,   9, atorrere , 
58:B5:68:05:0C:6C, 2024-06-13 18:50:22, 2024-06-13 19:00:25, 11,  48, WPA2, CCMP, MGT, -82,      104,        0,   0.  0.  0.  0,  32, QXARgQoa7IUvkv6pjmacXWrJR5ApPXT2, 
D8:FB:5E:64:B9:AD, 2024-06-13 18:50:54, 2024-06-13 19:00:22,  6, 130, WPA2, CCMP, PSK, -81,       51,        3,   0.  0.  0.  0,  13, MOVISTAR_B9AC, 
A8:9A:93:5B:9D:D0, 2024-06-13 18:50:04, 2024-06-13 19:00:12,  1, 130, WPA2, CCMP, PSK, -79,       70,        4,   0.  0.  0.  0,  12, MiFibra-9DD0, 
C0:FD:84:D6:31:8F, 2024-06-13 18:55:32, 2024-06-13 19:00:05,  7, 130, WPA2, CCMP TKIP, PSK, -79,        9,        0,   0.  0.  0.  0,  14, DIGIFIBRA-QH4d, 
06:0E:3C:5D:6E:A0, 2024-06-13 18:50:04, 2024-06-13 19:00:19,  6, 130, WPA2, CCMP, PSK, -79,      146,        0,   0.  0.  0.  0,  29, DIRECT-A0-HP ENVY 5000 series, 
A8:42:A1:54:5A:B6, 2024-06-13 18:54:32, 2024-06-13 19:00:13,  8, 270, WPA2, CCMP, PSK, -79,       87,        0,   0.  0.  0.  0,   0, , 
18:82:8C:B3:67:D1, 2024-06-13 18:50:04, 2024-06-13 19:00:19,  1, 130, WPA2, CCMP, PSK, -79,      101,      286,   0.  0.  0.  0,  12, MiFibra-67CF, 
D8:32:14:DD:5B:91, 2024-06-13 18:51:32, 2024-06-13 19:00:25,  3, 270, WPA2, CCMP, PSK, -79,      152,       47,   0.  0.  0.  0,   6, Piruli, 
F8:5B:3B:FD:E0:8F, 2024-06-13 18:50:05, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -74,      111,        0,   0.  0.  0.  0,  13, MOVISTAR_E080, 
2C:96:82:94:DD:78, 2024-06-13 18:50:04, 2024-06-13 19:00:23,  1, 720, WPA2, CCMP, PSK, -78,      104,        9,   0.  0.  0.  0,   7, leviali, 
2C:08:23:02:BC:25, 2024-06-13 18:50:22, 2024-06-13 19:00:25, 11, 130, WPA2, CCMP, PSK, -79,      142,       77,   0.  0.  0.  0,  13, Livebox6-0317, 
C4:27:28:5A:C8:EC, 2024-06-13 18:50:34, 2024-06-13 19:00:20,  8, 360, WPA2, CCMP, PSK, -75,       64,       35,   0.  0.  0.  0,  14, DIGIFIBRA-47hU, 
20:0D:B0:08:A6:9F, 2024-06-13 18:50:55, 2024-06-13 19:00:05,  1, 130, WPA2, CCMP TKIP, PSK, -75,       12,        0,   0.  0.  0.  0,  12, MiFibra-8A2B, 
AC:B6:87:80:BF:D6, 2024-06-13 18:50:47, 2024-06-13 19:00:04, 11, 195, WPA2, CCMP, PSK, -75,        4,        1,   0.  0.  0.  0,  13, Livebox6-BFD7, 
80:29:94:DA:27:4F, 2024-06-13 18:50:11, 2024-06-13 19:00:25, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -74,      296,       12,   0.  0.  0.  0,  12, vodafone274A, 
50:0F:F5:7B:81:99, 2024-06-13 18:50:04, 2024-06-13 19:00:24,  1, 130, WPA2, CCMP TKIP, PSK, -72,      155,        0,   0.  0.  0.  0,   6, casa12, 
CC:ED:DC:5A:1D:83, 2024-06-13 18:50:40, 2024-06-13 19:00:12,  1, 130, WPA2, CCMP, PSK, -71,        9,       16,   0.  0.  0.  0,  13, MOVISTAR_1D82, 
46:48:B9:01:4F:5E, 2024-06-13 18:50:04, 2024-06-13 19:00:24,  1, 130, WPA2, CCMP, PSK, -72,      204,        0,   0.  0.  0.  0,  13, MOVISTAR_C233, 
44:48:B9:01:4F:5E, 2024-06-13 18:50:05, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -71,      128,        0,   0.  0.  0.  0,  13, MOVISTAR_4F5C, 
5E:60:BA:AF:68:84, 2024-06-13 18:50:04, 2024-06-13 19:00:22,  6,  65, WPA2, CCMP, PSK, -66,       78,        0,   0.  0.  0.  0,  28, DIRECT-84-HP Smart Tank 7000, 
E4:AB:89:96:FF:4E, 2024-06-13 18:50:11, 2024-06-13 19:00:22,  6, 130, WPA2, CCMP, PSK, -80,       89,       18,   0.  0.  0.  0,  13, MOVISTAR_FF4D, 
4C:AB:F8:4F:6A:4F, 2024-06-13 18:50:07, 2024-06-13 19:00:25,  6, 130, WPA2, CCMP, PSK, -62,      278,        0,   0.  0.  0.  0,  13, MOVISTAR_6A40, 
30:C5:0F:A3:39:8C, 2024-06-13 18:50:07, 2024-06-13 19:00:26, 11, 360, WPA2 WPA, CCMP, PSK, -62,      549,       10,   0.  0.  0.  0,   9, DIGI-4M6e, 
80:78:71:DD:F4:43, 2024-06-13 18:50:07, 2024-06-13 19:00:26, 11, 130, WPA2, CCMP, PSK, -54,      559,       89,   0.  0.  0.  0,  13, MOVISTAR_F442, 
AC:4C:A5:BD:86:80, 2024-06-13 18:50:07, 2024-06-13 19:00:25, 11, 195, WPA2, CCMP, PSK, -50,      430,     1768,   0.  0.  0.  0,  14, vodafoneAANU7W, 
50:0F:F5:7B:81:91, 2024-06-13 18:50:05, 2024-06-13 19:00:25,  6, 130, WPA2, CCMP TKIP, PSK, -52,      605,      158,   0.  0.  0.  0,   6, casa12, 
44:FF:BA:0E:4D:E0, 2024-06-13 18:50:04, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP TKIP, PSK, -76,      165,       28,   0.  0.  0.  0,   0, , 
62:D4:A1:96:54:F5, 2024-06-13 18:50:05, 2024-06-13 19:00:23, 13, 130, WPA2, CCMP, PSK, -42,      651,        0,   0.  0.  0.  0,  16, Real Madrid_INV, 
CC:D4:A1:96:54:F4, 2024-06-13 18:50:05, 2024-06-13 19:00:23, 13, 130, WPA2, CCMP, PSK, -41,      636,      325,   0.  0.  0.  0,  11, Real Madrid, 
F4:06:8D:B5:A1:75, 2024-06-13 18:50:04, 2024-06-13 19:00:23,  1, 130, WPA2, CCMP, PSK, -35,      714,        0,   0.  0.  0.  0,  10, devolo-175, 
94:28:6F:15:00:4B, 2024-06-13 18:50:18, 2024-06-13 19:00:07, 10,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
44:48:B9:02:E0:06, 2024-06-13 18:50:18, 2024-06-13 19:00:25, 11,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
34:5D:9E:54:6E:14, 2024-06-13 18:50:15, 2024-06-13 19:00:08,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A8:02:DB:02:21:B0, 2024-06-13 18:50:06, 2024-06-13 19:00:25,  3,  -1, WPA, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
EC:BE:DD:B7:69:DE, 2024-06-13 18:59:46, 2024-06-13 19:00:05,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0A:58:52:F2:13:E0, 2024-06-13 18:59:16, 2024-06-13 18:59:16, -75,        2, (not associated) ,
70:09:71:A2:86:20, 2024-06-13 18:59:17, 2024-06-13 18:59:17, -83,        1, 08:33:ED:34:50:2F,
